latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.620384,-116.430725,788.0,-21600,America/Denver,GMT-6

time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),cloud_cover (%),wind_speed_10m (mp/h),precipitation (inch)
2026-09-01T00:00,69.6,22,28.9,2,3.2,0.000
2026-09-01T01:00,67.9,23,28.5,6,3.5,0.000
2026-09-01T02:00,68.5,23,28.9,14,6.2,0.000
2026-09-01T03:00,72.5,21,30.1,2,8.7,0.000
2026-09-01T04:00,73.3,26,35.9,38,10.3,0.000
2026-09-01T05:00,73.0,31,40.2,61,10.9,0.000
2026-09-01T06:00,68.8,36,40.6,87,7.9,0.000
2026-09-01T07:00,69.3,38,42.9,88,7.7,0.000
2026-09-01T08:00,70.3,38,43.3,70,6.9,0.000
2026-09-01T09:00,73.0,39,46.9,84,4.8,0.000
2026-09-01T10:00,74.6,46,52.3,95,5.6,0.012
2026-09-01T11:00,73.4,56,56.7,98,8.9,0.035
2026-09-01T12:00,78.9,37,50.5,95,3.3,0.000
2026-09-01T13:00,81.0,35,50.5,80,6.7,0.000
2026-09-01T14:00,82.9,31,49.1,59,5.4,0.000
2026-09-01T15:00,84.3,28,47.2,40,3.8,0.000
2026-09-01T16:00,86.2,24,45.5,4,2.4,0.000
2026-09-01T17:00,86.4,23,44.1,13,4.3,0.000
2026-09-01T18:00,86.4,21,41.4,73,8.4,0.012
2026-09-01T19:00,84.7,22,41.3,70,6.6,0.000
2026-09-01T20:00,81.8,26,43.1,71,6.0,0.000
2026-09-01T21:00,78.5,31,45.2,35,5.2,0.000
2026-09-01T22:00,75.6,40,49.5,20,0.8,0.000
2026-09-01T23:00,72.4,42,48.3,2,2.2,0.000
2026-09-02T00:00,67.2,55,50.4,30,1.8,0.000
2026-09-02T01:00,66.6,55,49.7,48,2.1,0.000
2026-09-02T02:00,65.8,54,48.8,89,2.1,0.000
2026-09-02T03:00,65.3,55,48.6,95,2.0,0.000
2026-09-02T04:00,65.3,56,49.4,84,3.6,0.000
2026-09-02T05:00,63.7,61,49.9,94,1.0,0.000
2026-09-02T06:00,63.1,44,40.8,85,7.0,0.000
2026-09-02T07:00,63.7,38,37.7,75,4.9,0.008
2026-09-02T08:00,63.6,41,39.3,98,1.1,0.000
2026-09-02T09:00,66.0,35,37.3,52,4.9,0.004
2026-09-02T10:00,70.0,21,28.8,0,8.6,0.000
2026-09-02T11:00,72.3,21,30.3,1,6.2,0.000
2026-09-02T12:00,74.0,19,28.6,27,8.0,0.000
2026-09-02T13:00,75.4,20,31.1,7,8.7,0.000
2026-09-02T14:00,78.4,17,29.8,88,9.5,0.000
2026-09-02T15:00,78.5,16,29.3,85,12.9,0.000
2026-09-02T16:00,79.4,15,27.1,99,6.6,0.000
2026-09-02T17:00,80.8,13,26.2,94,9.0,0.000
2026-09-02T18:00,78.5,15,27.7,100,9.8,0.000
2026-09-02T19:00,75.7,20,31.7,100,13.3,0.000
