"specimen_id","collection_id","genus","species","cohort_id","germination_prep","germination_start","date_sowed","date_sprouted","status","notes"
"dm0-1","20260601_23660_PT","Dalbergia","melanoxylon","dm0","NA",2026-06-19,2026-06-24,2026-06-29,"alive","in 3rd pot"
"dm0-2","20260601_23660_PT","Dalbergia","melanoxylon","dm0","NA",2026-06-19,2026-06-25,2026-06-30,"alive","in 3rd pot"
"dm0-3","20260601_23660_PT","Dalbergia","melanoxylon","dm0","NA",2026-06-19,2026-06-26,2026-07-04,"alive","in 3rd pot"
"dm0-4","20260601_23660_PT","Dalbergia","melanoxylon","dm0","NA",2026-06-19,2026-06-26,2026-07-04,"alive","in 3rd pot"
"dm0-5","20260601_23660_PT","Dalbergia","melanoxylon","dm0","NA",2026-06-19,"NA","NA","dead","failed to germinate"
"dm0-6","20260601_23660_PT","Dalbergia","melanoxylon","dm0","NA",2026-06-19,"NA","NA","dead","failed to germinate"
"dm0-7","20260601_23660_PT","Dalbergia","melanoxylon","dm0","NA",2026-06-19,"NA","NA","dead","failed to germinate"
"dm0-8","20260601_23660_PT","Dalbergia","melanoxylon","dm0","NA",2026-06-19,"NA","NA","dead","failed to germinate"
"dm1-1","20260601_23660_PT","Dalbergia","melanoxylon","dm1","cold storage, thaw",2026-07-19,2026-07-22,"NA","dead","failed to sprout"
"dm1-2","20260601_23660_PT","Dalbergia","melanoxylon","dm1","cold storage, thaw",2026-07-19,2026-07-23,"NA","dead","failed to sprout"
"dm1-3","20260601_23660_PT","Dalbergia","melanoxylon","dm1","cold storage, thaw",2026-07-19,2026-07-25,2026-07-28,"alive","in 3rd pot"
"dm1-4","20260601_23660_PT","Dalbergia","melanoxylon","dm1","cold storage, thaw",2026-07-19,2026-07-26,2026-07-30,"alive","in 3rd pot"
"dm1-5","20260601_23660_PT","Dalbergia","melanoxylon","dm1","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm1-6","20260601_23660_PT","Dalbergia","melanoxylon","dm1","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm1-7","20260601_23660_PT","Dalbergia","melanoxylon","dm1","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm1-8","20260601_23660_PT","Dalbergia","melanoxylon","dm1","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm1-9","20260601_23660_PT","Dalbergia","melanoxylon","dm1","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm1-10","20260601_23660_PT","Dalbergia","melanoxylon","dm1","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm2-1","20260601_23660_PT","Dalbergia","melanoxylon","dm2","cold storage, thaw",2026-07-19,2026-07-23,2026-07-25,"alive","in 3rd pot"
"dm2-2","20260601_23660_PT","Dalbergia","melanoxylon","dm2","cold storage, thaw",2026-07-19,2026-07-23,"NA","dead","failed to sprout"
"dm2-3","20260601_23660_PT","Dalbergia","melanoxylon","dm2","cold storage, thaw",2026-07-19,2026-07-23,2026-07-28,"alive","in 3rd pot"
"dm2-4","20260601_23660_PT","Dalbergia","melanoxylon","dm2","cold storage, thaw",2026-07-19,2026-07-25,2026-07-29,"alive","in 3rd pot"
"dm2-5","20260601_23660_PT","Dalbergia","melanoxylon","dm2","cold storage, thaw",2026-07-19,2026-07-25,2026-07-28,"alive","in 3rd pot"
"dm2-6","20260601_23660_PT","Dalbergia","melanoxylon","dm2","cold storage, thaw",2026-07-19,2026-07-26,2026-07-28,"alive","in 3rd pot"
"dm2-7","20260601_23660_PT","Dalbergia","melanoxylon","dm2","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm2-8","20260601_23660_PT","Dalbergia","melanoxylon","dm2","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm2-9","20260601_23660_PT","Dalbergia","melanoxylon","dm2","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm2-10","20260601_23660_PT","Dalbergia","melanoxylon","dm2","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm3-1","20260601_23660_PT","Dalbergia","melanoxylon","dm3","cold storage, thaw",2026-07-19,2026-07-24,2026-07-26,"alive","in 3rd pot"
"dm3-2","20260601_23660_PT","Dalbergia","melanoxylon","dm3","cold storage, thaw",2026-07-19,2026-07-24,2026-07-28,"dead","failed before first true leaves"
"dm3-3","20260601_23660_PT","Dalbergia","melanoxylon","dm3","cold storage, thaw",2026-07-19,2026-07-24,2026-07-30,"alive","in 3rd pot"
"dm3-4","20260601_23660_PT","Dalbergia","melanoxylon","dm3","cold storage, thaw",2026-07-19,2026-07-25,2026-07-30,"alive","in 3rd pot"
"dm3-5","20260601_23660_PT","Dalbergia","melanoxylon","dm3","cold storage, thaw",2026-07-19,2026-07-25,2026-07-28,"alive","in 3rd pot"
"dm3-6","20260601_23660_PT","Dalbergia","melanoxylon","dm3","cold storage, thaw",2026-07-19,2026-07-26,2026-07-28,"alive","in 3rd pot"
"dm3-7","20260601_23660_PT","Dalbergia","melanoxylon","dm3","cold storage, thaw",2026-07-19,2026-07-26,2026-07-30,"alive","in 2nd pot"
"dm3-8","20260601_23660_PT","Dalbergia","melanoxylon","dm3","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm3-9","20260601_23660_PT","Dalbergia","melanoxylon","dm3","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm3-10","20260601_23660_PT","Dalbergia","melanoxylon","dm3","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm4-1","20260601_23660_PT","Dalbergia","melanoxylon","dm4","cold storage, thaw",2026-07-19,2026-07-22,"NA","dead","failed to sprout"
"dm4-2","20260601_23660_PT","Dalbergia","melanoxylon","dm4","cold storage, thaw",2026-07-19,2026-07-25,2026-07-30,"alive","in 3rd pot"
"dm4-3","20260601_23660_PT","Dalbergia","melanoxylon","dm4","cold storage, thaw",2026-07-19,2026-07-25,2026-07-28,"alive","in 3rd pot"
"dm4-4","20260601_23660_PT","Dalbergia","melanoxylon","dm4","cold storage, thaw",2026-07-19,2026-07-26,2026-08-01,"alive","in 2nd pot"
"dm4-5","20260601_23660_PT","Dalbergia","melanoxylon","dm4","cold storage, thaw",2026-07-19,2026-07-26,2026-07-31,"alive","in 3rd pot"
"dm4-6","20260601_23660_PT","Dalbergia","melanoxylon","dm4","cold storage, thaw",2026-07-19,2026-07-26,"NA","dead","failed to sprout"
"dm4-7","20260601_23660_PT","Dalbergia","melanoxylon","dm4","cold storage, thaw",2026-07-19,2026-07-28,2026-08-06,"alive","in 3rd pot"
"dm4-8","20260601_23660_PT","Dalbergia","melanoxylon","dm4","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm4-9","20260601_23660_PT","Dalbergia","melanoxylon","dm4","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dm4-10","20260601_23660_PT","Dalbergia","melanoxylon","dm4","cold storage, thaw",2026-07-19,"NA","NA","dead","failed to germinate"
"dr0-1","20260819_FM3A4FC6A_HN","Dalbergia","retusa","dr0","12 hour water soak",2026-08-20,2026-08-22,2026-08-24,"alive","in 1st pot"
"dr0-2","20260819_FM3A4FC6A_HN","Dalbergia","retusa","dr0","12 hour water soak",2026-08-20,2026-08-22,2026-08-25,"alive","in 1st pot"
"dr0-3","20260819_FM3A4FC6A_HN","Dalbergia","retusa","dr0","12 hour water soak",2026-08-20,2026-08-22,"NA","alive","awaiting emergence of sprout"
"dr0-4","20260819_FM3A4FC6A_HN","Dalbergia","retusa","dr0","12 hour water soak",2026-08-20,2026-08-23,"NA","alive","awaiting emergence of sprout"
"dr0-5","20260819_FM3A4FC6A_HN","Dalbergia","retusa","dr0","12 hour water soak",2026-08-20,2026-08-23,"NA","alive","awaiting emergence of sprout"
"dr0-6","20260819_FM3A4FC6A_HN","Dalbergia","retusa","dr0","12 hour water soak",2026-08-20,"NA","NA","alive","awaiting germination in seed baggie"
"dr0-7","20260819_FM3A4FC6A_HN","Dalbergia","retusa","dr0","12 hour water soak",2026-08-20,"NA","NA","alive","awaiting germination in seed baggie"
"dr0-8","20260819_FM3A4FC6A_HN","Dalbergia","retusa","dr0","12 hour water soak",2026-08-20,"NA","NA","alive","awaiting germination in seed baggie"
"dr0-9","20260819_FM3A4FC6A_HN","Dalbergia","retusa","dr0","12 hour water soak",2026-08-20,"NA","NA","alive","awaiting germination in seed baggie"
"dr0-10","20260819_FM3A4FC6A_HN","Dalbergia","retusa","dr0","12 hour water soak",2026-08-20,"NA","NA","alive","awaiting germination in seed baggie"
