"specimen_id","measurement_date","age_days","vertical_height_in","leader_length_in","crown_width_in","stem_diameter_mm","health_status","measurement_notes","protocol_version"
"dm0-1",2026-08-11,37,"NA",9,7,2.95,"healthy","Specimen leaning; vertical height not measured",1
"dm0-2",2026-08-10,36,"NA",8.75,9,3.1,"healthy","Specimen leaning; vertical height not measured",1
"dm0-3",2026-08-06,32,"NA",7,8.5,3.16,"healthy","Specimen leaning; vertical height not measured",1
"dm0-4",2026-08-06,32,"NA",9.25,9,3.19,"healthy","Specimen leaning; vertical height not measured",1
"dm0-1",2026-08-20,52,8.875,"NA",7,4.37,"healthy","Leader length not measured",1
"dm0-2",2026-08-20,51,8.75,"NA",9.25,4.05,"healthy","Leader length not measured",1
"dm0-3",2026-08-20,47,7.375,"NA",8.375,4.56,"healthy","Leader length not measured",1
"dm0-4",2026-08-20,47,6.875,"NA",10.625,4.82,"healthy","Leader length not measured",1
"dm1-3",2026-08-20,23,3,"NA",3.625,1.75,"healthy","Leader length not measured",1
"dm1-4",2026-08-20,21,2.5,"NA",2.5,1.42,"healthy","Leader length not measured",1
"dm2-1",2026-08-20,26,6.125,"NA",6,1.99,"healthy","Leader length not measured",1
"dm2-3",2026-08-20,23,3.375,"NA",4,2.1,"healthy","Leader length not measured",1
"dm2-4",2026-08-20,22,2.5,"NA",4.25,1.59,"healthy","Leader length not measured",1
"dm2-5",2026-08-20,22,4.375,"NA",4.625,1.77,"healthy","Leader length not measured",1
"dm2-6",2026-08-20,23,3.875,"NA",4.625,1.74,"healthy","Leader length not measured",1
"dm3-1",2026-08-20,25,4.75,"NA",5.125,2.13,"healthy","Leader length not measured",1
"dm3-3",2026-08-20,21,3.625,"NA",5.375,1.93,"healthy","Leader length not measured",1
"dm3-4",2026-08-20,21,4.125,"NA",6.125,2,"healthy","Leader length not measured",1
"dm3-5",2026-08-20,23,2.875,"NA",4.25,1.81,"healthy","Leader length not measured",1
"dm3-6",2026-08-20,23,3.625,"NA",4.75,1.89,"healthy","Leader length not measured",1
"dm3-7",2026-08-20,21,3.875,"NA",2.375,"NA","healthy","Leader length not measured; stem diameter not measured",1
"dm4-2",2026-08-20,21,2.875,"NA",3.25,1.49,"healthy","Leader length not measured",1
"dm4-3",2026-08-20,23,3.25,"NA",3.625,1.71,"healthy","Leader length not measured",1
"dm4-4",2026-08-20,19,2.625,"NA",2.5,"NA","healthy","Leader length not measured; stem diameter not measured",1
"dm4-5",2026-08-20,20,3.625,"NA",4,"NA","healthy","Leader length not measured; stem diameter not measured",1
"dm4-7",2026-08-20,14,1.75,"NA",1.75,"NA","healthy","Leader length not measured; stem diameter not measured",1
"dm2-1",2026-08-24,30,6.375,5.75,6.625,2.34,"healthy","Specimen leaning; measured before applying bracing",1
"dm3-1",2026-08-25,30,6,5.625,6,2.49,"healthy","Specimen healthy, not leaning",1
